artifact,column,reason,count,example,verdict
outputs/tables/audit_gama_oiiib_sigmaS_normalization_extreme.csv,mdot_bh,extreme_absolute_value,19,row=2;value=407218994019628.9,quarantine_review_required
outputs/tables/audit_gama_oiiib_sigmaS_normalization_summary.csv,S_mad,near_zero_scale,1,row=3;value=8.881784197001252e-16,quarantine_review_required
outputs/tables/gama_gauss_best.csv,SPECID,extreme_absolute_value,623,row=2;value=317669827802064896,quarantine_review_required
outputs/tables/gama_gauss_matched.csv,SPECID,extreme_absolute_value,778,row=2;value=1030358159811700736,quarantine_review_required
outputs/tables/gama_gauss_matched.csv,OIIR_FLUX_ERR,extreme_absolute_value,1,row=1205;value=14738096000.0,quarantine_review_required
outputs/tables/gama_lambda0_sensitivity_sigmaS_binned.csv,var_y,extreme_absolute_value,6,row=8;value=1081638504699.3142,quarantine_review_required
outputs/tables/gama_lambda0_sensitivity_sigmaS_summary.csv,obs_slope,extreme_absolute_value,3,row=4;value=-540713294133.8033,quarantine_review_required
outputs/tables/gama_lambda0_sensitivity_sigmaS_summary.csv,intercept,extreme_absolute_value,3,row=4;value=4479123967661.246,quarantine_review_required
outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_binned.csv,var_y,extreme_absolute_value,6,row=2;value=1118231156436.3728,quarantine_review_required
outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_nulls.csv,null_slope,extreme_absolute_value,8000,row=2;value=-559006776902.038,quarantine_review_required
outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_summary.csv,obs_slope,extreme_absolute_value,4,row=2;value=-559006776902.038,quarantine_review_required
outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_summary.csv,intercept,extreme_absolute_value,4,row=2;value=4627694182000.0205,quarantine_review_required
outputs/tables/gama_mass_matched.csv,mstar,extreme_absolute_value,734,row=2;value=41130717000.0,quarantine_review_required
outputs/tables/gama_sample_runtime_table.csv,mdot_bh,extreme_absolute_value,695,row=2;value=4291073479404689.0,quarantine_review_required
outputs/tables/gama_sample_runtime_table.csv,mstar,extreme_absolute_value,734,row=2;value=41130717000.0,quarantine_review_required
outputs/tables/gama_sample_runtime_table.csv,SPECID,extreme_absolute_value,525,row=2;value=317669827802064896,quarantine_review_required
outputs/tables/gama_sample_runtime_table.csv,SPECID_gauss,extreme_absolute_value,623,row=2;value=317669827802064896,quarantine_review_required
outputs/tables/gama_sigma_best.csv,SPECID,extreme_absolute_value,525,row=2;value=317669827802064896,quarantine_review_required
outputs/tables/gama_sigma_matched.csv,SPECID,extreme_absolute_value,768,row=2;value=1030358159811700736,quarantine_review_required
outputs/tables/manga_full_download_runtime.csv,nsa_sersic_mass,extreme_absolute_value,6019,row=4;value=13693500000.0,quarantine_review_required
outputs/tables/manga_full_download_runtime.csv,nsa_elpetro_mass,extreme_absolute_value,5637,row=8;value=11365900000.0,quarantine_review_required
outputs/tables/manga_full_download_runtime_with_legacy_overlay.csv,nsa_sersic_mass,extreme_absolute_value,6019,row=4;value=13693500000.0,quarantine_review_required
outputs/tables/manga_full_download_runtime_with_legacy_overlay.csv,nsa_elpetro_mass,extreme_absolute_value,5637,row=8;value=11365900000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_000.csv,nsa_sersic_mass,extreme_absolute_value,378,row=4;value=12987300000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_000.csv,nsa_elpetro_mass,extreme_absolute_value,358,row=5;value=11365900000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_001.csv,nsa_elpetro_mass,extreme_absolute_value,351,row=2;value=81050000000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_001.csv,nsa_sersic_mass,extreme_absolute_value,379,row=2;value=124199000000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_002.csv,nsa_elpetro_mass,extreme_absolute_value,375,row=2;value=28405993000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_002.csv,nsa_sersic_mass,extreme_absolute_value,393,row=2;value=38456017000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_003.csv,nsa_sersic_mass,extreme_absolute_value,379,row=3;value=11773324000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_003.csv,nsa_elpetro_mass,extreme_absolute_value,359,row=5;value=12936775000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_004.csv,nsa_elpetro_mass,extreme_absolute_value,356,row=2;value=28244875000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_004.csv,nsa_sersic_mass,extreme_absolute_value,379,row=2;value=36302053000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_005.csv,nsa_sersic_mass,extreme_absolute_value,380,row=2;value=11914700000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_005.csv,nsa_elpetro_mass,extreme_absolute_value,348,row=3;value=71514200000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_006.csv,nsa_elpetro_mass,extreme_absolute_value,336,row=2;value=66239700000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_006.csv,nsa_sersic_mass,extreme_absolute_value,365,row=2;value=102237000000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_007.csv,nsa_elpetro_mass,extreme_absolute_value,359,row=2;value=16781700000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_007.csv,nsa_sersic_mass,extreme_absolute_value,383,row=2;value=20395700000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_008.csv,nsa_elpetro_mass,extreme_absolute_value,350,row=4;value=31503400000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_008.csv,nsa_sersic_mass,extreme_absolute_value,375,row=4;value=52995800000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_009.csv,nsa_elpetro_mass,extreme_absolute_value,379,row=2;value=11305500000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_009.csv,nsa_sersic_mass,extreme_absolute_value,397,row=2;value=14340400000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_010.csv,nsa_elpetro_mass,extreme_absolute_value,351,row=2;value=13289300000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_010.csv,nsa_sersic_mass,extreme_absolute_value,375,row=2;value=17860100000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_011.csv,nsa_elpetro_mass,extreme_absolute_value,391,row=2;value=26174500000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_011.csv,nsa_sersic_mass,extreme_absolute_value,413,row=2;value=43535300000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_012.csv,nsa_elpetro_mass,extreme_absolute_value,344,row=2;value=17287300000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_012.csv,nsa_sersic_mass,extreme_absolute_value,367,row=2;value=19953800000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_013.csv,nsa_sersic_mass,extreme_absolute_value,288,row=2;value=13346900000.0,quarantine_review_required
outputs/tables/manga_full_maps_chunk_manifests/manga_full_maps_chunk_013.csv,nsa_elpetro_mass,extreme_absolute_value,265,row=3;value=53059100000.0,quarantine_review_required
outputs/tables/manga_full_parent_manifest.csv,nsa_sersic_mass,extreme_absolute_value,5251,row=4;value=12987300000.0,quarantine_review_required
outputs/tables/manga_full_parent_manifest.csv,nsa_elpetro_mass,extreme_absolute_value,4922,row=5;value=11365900000.0,quarantine_review_required
outputs/tables/manga_full_parent_manifest_with_maps.csv,nsa_sersic_mass,extreme_absolute_value,5251,row=4;value=12987300000.0,quarantine_review_required
outputs/tables/manga_full_parent_manifest_with_maps.csv,nsa_elpetro_mass,extreme_absolute_value,4922,row=5;value=11365900000.0,quarantine_review_required
outputs/tables/manga_provenance_audit.csv,nsa_elpetro_mass,extreme_absolute_value,8,row=2;value=38948500000.0,quarantine_review_required
outputs/tables/manga_provenance_audit.csv,nsa_sersic_mass,extreme_absolute_value,8,row=2;value=54077300000.0,quarantine_review_required
outputs/tables/manga_sample_runtime_table.csv,nsa_elpetro_mass,extreme_absolute_value,8,row=2;value=38948500000.0,quarantine_review_required
outputs/tables/manga_sample_runtime_table.csv,nsa_sersic_mass,extreme_absolute_value,8,row=2;value=54077300000.0,quarantine_review_required
outputs/tables/manga_sample_runtime_table_augmented.csv,nsa_elpetro_mass,extreme_absolute_value,8,row=2;value=38948500000.0,quarantine_review_required
outputs/tables/manga_sample_runtime_table_augmented.csv,nsa_sersic_mass,extreme_absolute_value,8,row=2;value=54077300000.0,quarantine_review_required
outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_null_slopes.csv,null_slope,extreme_absolute_value,2000,row=2;value=-559006776902.038,quarantine_review_required
outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_variance_scaling.csv,var_y,extreme_absolute_value,2,row=2;value=1118231156436.3728,quarantine_review_required
outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_variance_summary.csv,obs_slope,extreme_absolute_value,1,row=2;value=-559006776902.038,quarantine_review_required
outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_variance_summary.csv,intercept,extreme_absolute_value,1,row=2;value=4627694182000.0205,quarantine_review_required
